Name,Address,City,State,County,Zip,Country,Latitude,Longitude
Games of Antioch,2665 Somersville Road,Antioch,CA,Contra Costa County,94509,USA,37.9987,-121.842446
Victory Point Cafe,1797-A Shattuck Ave,Berkeley,CA,Alameda County,94709,USA,37.875184,-122.268378
Eudemonia,2154 University Ave,Berkeley,CA,Alameda County,94704,USA,37.871997,-122.267013
Games of Berkeley,2510 Durant Ave,Berkeley,CA,Alameda County,94704,USA,37.867541,-122.258367
Tableflip,7730 Brentwood Blvd Suite A,Brentwood,CA,Contra Costa County,94513,USA,37.944185,-121.695241
Ronin Games,19601 Center St,Castro Valley,CA,Alameda County,94546,USA,37.700577,-122.061434
Black Diamond Games,1950 Market St,Concord,CA,Contra Costa County,94520,USA,37.97368,-122.043832
Game Kastle Fremont,3911 Washington Blvd,Fremont,CA,Alameda County,95638,USA,37.533127,-121.957848
Game Hub,9800 CA-53,Lower Lake,CA,Lake County,95457,USA,38.911562,-122.611794
Game Kastle  Mountain View,550 Showers Dr Suite 1,Mountain View,CA,Santa Clara County,94040,USA,37.402593,-122.109732
Heretic Games,442 San Mateo Ave,San Bruno,CA,San Mateo County,94066,USA,37.622726,-122.410898
Game Post,689 3rd St,San Francisco,CA,San Francisco County,94107,USA,37.779084,-122.393093
Gamescape,333 Divisadero St,San Francisco,CA,San Francisco County,94117,USA,37.772675,-122.437604
Laughing Monk Brewing,1439 Egbert Ave unit a/b,San Francisco,CA,San Francisco County,941214,USA,37.728102,-122.402209
Russian Hill Books,2162 Polk St,San Francisco,CA,San Francisco County,94109,USA,37.796673,-122.421619
Tracy Library,20 E Eaton Ave,Tracy,CA,San Joaquin County,95376,USA,37.743364,-121.425517
Legends,2200 Eastridge Loop Ste 1085,San Jose,CA,Santa Clara County,95122,USA,37.325242,-121.813906
Gamescape North,1225 4th St,San Rafael,CA,Marin County,94901,USA,37.973181,-122.530195
Isle of Gamers,2770 El Camino Real,Santa Clara,CA,Santa Clara County,95051,USA,37.352191,-121.976547
